MMTC Name,Dispensing Locations,Medical Marijuana (mgs THC),Low-THC Cannabis (mgs CBD),Marijuana in a Form for Smoking (oz),Report Date
Trulieve,149,112001985,572898,51654.209,2024-09-06
MÜV,79,31892624,28791,9215.169,2024-09-06
Ayr Ayr,65,44857647,815059,7804.314,2024-09-06
Curaleaf,64,46596359,101400,12209.967,2024-09-06
Surterra Wellness,45,24753615,1010484,7748.265,2024-09-06
Green Dragon,38,4109470,0,1574.083,2024-09-06
FLUENT,35,16659396,82050,4394.404,2024-09-06
Sunnyside*,33,12896552,327054,6089.011,2024-09-06
13th Planet,27,7103068,304711,2877.845,2024-09-06
Sanctuary Cannabis,23,4759219,8422,2945.967,2024-09-06
GrowHealthy,19,8778621,108,2810.442,2024-09-06
"GTI Florida, LLC",20,10515883,0,2383.163,2024-09-06
Cannabist,14,3534599,59998,1261.975,2024-09-06
Sunburn,14,13371177,80446,3436.442,2024-09-06
"Cookies Florida, Inc.",10,1126394,0,1245.43,2024-09-06
Insa Insa,10,2452547,0,1139.907,2024-09-06
Jungle Boys,11,2951207,0,4318.972,2024-09-06
The Flowery,9,9811125,0,2609.76,2024-09-06
Goldflower Cannabis,5,2535205,0,686.551,2024-09-06
House of Platinum Cannabis,4,771523,1722,363.125,2024-09-06
Eden,0,0,0,0.0,2024-09-06
"Fino Brands, Inc.",0,0,0,0.0,2024-09-06
"Prosperity Medical, LLC",0,0,0,0.0,2024-09-06
Revolution Florida,0,0,0,0.0,2024-09-06
TheraTrue Florida,0,0,0,0.0,2024-09-06
Trulieve,148,105851317,511851,45470.381,2024-08-30
MÜV,79,28058794,28705,7988.351,2024-08-30
Ayr Ayr,65,42178463,621154,7477.846,2024-08-30
Curaleaf,64,42816890,149251,12641.483,2024-08-30
Surterra Wellness,45,24288397,1074656,7359.211,2024-08-30
Green Dragon,38,3675171,0,1460.24,2024-08-30
FLUENT,35,16010831,75062,4734.616,2024-08-30
Sunnyside*,33,11312460,341471,5723.812,2024-08-30
13th Planet,27,7569794,294375,3265.809,2024-08-30
Sanctuary Cannabis,23,4992863,6232,2712.406,2024-08-30
GrowHealthy,19,8262986,108,2941.032,2024-08-30
"GTI Florida, LLC",20,8144627,0,2017.577,2024-08-30
Cannabist,14,2967837,54070,1114.449,2024-08-30
Sunburn,14,13908217,24404,4408.601,2024-08-30
"Cookies Florida, Inc.",10,915517,0,1184.587,2024-08-30
Insa Insa,10,2046905,0,865.059,2024-08-30
Jungle Boys,11,3477923,0,3807.932,2024-08-30
The Flowery,9,7911826,0,3049.567,2024-08-30
Goldflower Cannabis,5,2562033,0,664.46,2024-08-30
House of Platinum Cannabis,4,808549,1807,333.554,2024-08-30
Eden,0,0,0,0.0,2024-08-30
"Fino Brands, Inc.",0,0,0,0.0,2024-08-30
"Prosperity Medical, LLC",0,0,0,0.0,2024-08-30
Revolution Florida,0,0,0,0.0,2024-08-30
TheraTrue Florida,0,0,0,0.0,2024-08-30
Trulieve,144,112237807,528947,45655.373,2024-08-23
MÜV,77,28762958,37173,7723.877,2024-08-23
Ayr Ayr,65,41357183,573359,6673.515,2024-08-23
Curaleaf,64,43335111,210700,12769.507,2024-08-23
Surterra Wellness,45,28191173,1026788,6404.621,2024-08-23
Green Dragon,38,3880922,0,1452.139,2024-08-23
FLUENT,35,17064332,67505,5006.197,2024-08-23
Sunnyside*,33,10932753,328804,5935.782,2024-08-23
13th Planet,27,6825205,222087,3267.21,2024-08-23
Sanctuary Cannabis,23,5296432,10820,2505.505,2024-08-23
GrowHealthy,19,8444467,20712,2963.878,2024-08-23
"GTI Florida, LLC",19,7406809,0,1948.428,2024-08-23
Cannabist,14,2795752,76788,1122.94,2024-08-23
Sunburn,14,13000446,10446,3940.558,2024-08-23
"Cookies Florida, Inc.",10,733069,0,1332.692,2024-08-23
Insa Insa,10,2244570,0,849.474,2024-08-23
Jungle Boys,10,2534958,0,3596.425,2024-08-23
The Flowery,9,5556584,0,2121.984,2024-08-23
Goldflower Cannabis,5,2127733,0,612.101,2024-08-23
House of Platinum Cannabis,4,798246,598,363.004,2024-08-23
"Fino Brands, Inc.",0,0,0,0.0,2024-08-23
"Prosperity Medical, LLC",0,0,0,0.0,2024-08-23
Revolution Florida,0,0,0,0.0,2024-08-23
TheraTrue Florida,0,0,0,0.0,2024-08-23
"Eden Florida, LLC",0,0,0,0.0,2024-08-23
Trulieve,143,105775442,478648,43368.057,2024-08-16
MÜV,77,29006108,34989,9329.141,2024-08-16
Ayr Ayr,65,41543018,475444,6785.368,2024-08-16
Curaleaf,64,41961434,217300,12380.328,2024-08-16
Surterra Wellness,45,21794708,959532,7100.937,2024-08-16
Green Dragon,38,4151961,0,1496.211,2024-08-16
FLUENT,35,15738964,49513,5128.698,2024-08-16
Sunnyside*,33,11444488,307198,5918.555,2024-08-16
VidaCann,27,6581303,290560,3642.278,2024-08-16
Sanctuary Cannabis,23,5397439,17854,2564.475,2024-08-16
GrowHealthy,19,8075566,24032,2985.071,2024-08-16
"GTI Florida, LLC",19,6214397,0,1969.211,2024-08-16
Cannabist,14,2763287,40887,994.791,2024-08-16
Sunburn,14,14051714,7961,3411.162,2024-08-16
Insa Insa,10,2069144,0,715.951,2024-08-16
"Cookies Florida, Inc.",10,899545,0,1541.358,2024-08-16
Jungle Boys,10,2385932,0,3699.444,2024-08-16
The Flowery,9,6968631,0,2948.817,2024-08-16
House of Platinum Cannabis,4,698651,1009,366.908,2024-08-16
Goldflower Cannabis,5,2370308,0,597.206,2024-08-16
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-08-16
Revolution Florida,0,0,0,0.0,2024-08-16
"Prosperity Medical, LLC",0,0,0,0.0,2024-08-16
TheraTrue Florida,0,0,0,0.0,2024-08-16
Trulieve,142,99225562,433356,44986.357,2024-08-09
MÜV,77,29903060,37496,8453.219,2024-08-09
Ayr Ayr,64,41400911,363042,7178.026,2024-08-09
Curaleaf,63,42600185,242100,11733.666,2024-08-09
Surterra Wellness,45,26451196,1102468,6478.991,2024-08-09
Green Dragon,38,4047757,0,1551.432,2024-08-09
FLUENT,35,15859468,55675,5232.03,2024-08-09
Sunnyside*,33,11498054,286828,5806.644,2024-08-09
VidaCann,27,7085243,229686,3505.836,2024-08-09
Sanctuary Cannabis,23,5652917,9999,2451.257,2024-08-09
GrowHealthy,19,8546523,12784,3350.62,2024-08-09
"GTI Florida, LLC",19,9932155,0,2398.537,2024-08-09
Cannabist,14,3077347,49293,1164.346,2024-08-09
Sunburn,14,12456341,7625,3111.37,2024-08-09
Insa Insa,10,2138920,0,719.016,2024-08-09
"Cookies Florida, Inc.",10,826842,0,1344.819,2024-08-09
Jungle Boys,10,2668394,0,3792.509,2024-08-09
The Flowery,9,6248377,0,2601.285,2024-08-09
House of Platinum Cannabis,4,661461,4140,303.982,2024-08-09
Goldflower Cannabis,5,2393393,0,612.487,2024-08-09
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-08-09
Revolution Florida,0,0,0,0.0,2024-08-09
"Prosperity Medical, LLC",0,0,0,0.0,2024-08-09
TheraTrue Florida,0,0,0,0.0,2024-08-09
Trulieve,142,101304286,409204,44012.158,2024-08-02
MÜV,77,31234628,51292,8791.13,2024-08-02
Ayr Ayr,65,42789863,463677,7342.669,2024-08-02
Curaleaf,62,42781710,203100,10981.134,2024-08-02
Surterra Wellness,45,27628192,926386,6626.177,2024-08-02
Green Dragon,38,4115740,0,1707.553,2024-08-02
FLUENT,35,17757733,67100,5038.831,2024-08-02
Sunnyside*,33,11651029,309908,5431.489,2024-08-02
VidaCann,26,6550478,245781,3110.436,2024-08-02
Sanctuary Cannabis,23,5322253,12160,3549.774,2024-08-02
GrowHealthy,19,9652055,18568,3040.679,2024-08-02
"GTI Florida, LLC",19,9724791,0,2034.873,2024-08-02
Cannabist,14,2926106,46724,1117.576,2024-08-02
Sunburn,14,10708043,16897,3617.607,2024-08-02
Insa Insa,10,2156149,0,1034.729,2024-08-02
"Cookies Florida, Inc.",10,599324,0,1324.045,2024-08-02
Jungle Boys,9,2429846,0,3652.028,2024-08-02
The Flowery,9,5818019,0,2884.466,2024-08-02
House of Platinum Cannabis,4,585542,8197,295.916,2024-08-02
Goldflower Cannabis,5,2457612,0,661.569,2024-08-02
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-08-02
Revolution Florida,0,0,0,0.0,2024-08-02
"Prosperity Medical, LLC",0,0,0,0.0,2024-08-02
TheraTrue Florida,0,0,0,0.0,2024-08-02
Trulieve,142,98455469,461774,43602.636,2024-07-26
MÜV,77,28707873,48397,9603.119,2024-07-26
Ayr Ayr,65,39577158,812105,7534.212,2024-07-26
Curaleaf,62,40857495,193300,11506.544,2024-07-26
Surterra Wellness,45,25782885,1004840,5403.264,2024-07-26
Green Dragon,38,4047487,0,1550.162,2024-07-26
FLUENT,35,19512072,69295,4305.736,2024-07-26
Sunnyside*,33,11777717,302859,5241.974,2024-07-26
VidaCann,26,5000885,158308,3136.998,2024-07-26
Sanctuary Cannabis,23,5384077,12307,4008.712,2024-07-26
GrowHealthy,19,9276753,20441,2494.864,2024-07-26
"GTI Florida, LLC",19,7082369,0,1837.982,2024-07-26
Cannabist,14,3366240,48247,1192.328,2024-07-26
Sunburn,14,11834445,8831,3287.5,2024-07-26
Insa Insa,10,2191610,0,1145.954,2024-07-26
"Cookies Florida, Inc.",10,709221,0,1620.808,2024-07-26
Jungle Boys,9,2108993,0,3417.585,2024-07-26
The Flowery,8,6771273,0,2638.07,2024-07-26
House of Platinum Cannabis,4,643082,2518,244.06,2024-07-26
Goldflower Cannabis,5,1299197,0,442.567,2024-07-26
"Planet 13 Florida, Inc.",0,0,0,0.0,2024-07-26
Revolution Florida,0,0,0,0.0,2024-07-26
"Prosperity Medical, LLC",0,0,0,0.0,2024-07-26
TheraTrue Florida,0,0,0,0.0,2024-07-26
Trulieve,141,99272379,411630,41650.973,2024-07-19
MÜV,77,29243811,77870,9694.535,2024-07-19
Ayr Ayr,65,41091269,653585,7459.488,2024-07-19
Curaleaf,62,41131563,239900,10730.542,2024-07-19
Surterra Wellness,45,28374188,1135362,6297.929,2024-07-19
Green Dragon,38,3562312,0,1542.846,2024-07-19
FLUENT,35,13498329,82643,4228.627,2024-07-19
Sunnyside*,33,12515436,213765,5632.155,2024-07-19
VidaCann,26,5142522,157079,3422.086,2024-07-19
Sanctuary Cannabis,23,5438047,24180,3712.326,2024-07-19
GrowHealthy,19,10265011,16282,2483.8,2024-07-19
"GTI Florida, LLC",19,7136448,55244,1770.073,2024-07-19
Cannabist,14,2837735,49272,1215.994,2024-07-19
